"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","208","DNK","Denmark","2016","34.8",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","208","DNK","Denmark","2017","34.9",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","208","DNK","Denmark","2018","34.9",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","208","DNK","Denmark","2019","35.0",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","208","DNK","Denmark","2020","35.2",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","233","EST","Estonia","2005","28.8",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","233","EST","Estonia","2006","29.0",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","233","EST","Estonia","2007","29.4",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","233","EST","Estonia","2008","29.6",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","233","EST","Estonia","2009","30.1",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","233","EST","Estonia","2010","30.4",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","233","EST","Estonia","2011","30.8",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","233","EST","Estonia","2012","31.0",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","233","EST","Estonia","2013","30.8",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","233","EST","Estonia","2014","31.1",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","233","EST","Estonia","2015","31.6",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","233","EST","Estonia","2016","31.9",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","233","EST","Estonia","2017","32.1",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","233","EST","Estonia","2018","32.1",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","233","EST","Estonia","2019","32.3",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","233","EST","Estonia","2020","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","246","FIN","Finland","2005","31.8",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","246","FIN","Finland","2006","32.1",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","246","FIN","Finland","2007","32.3",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","246","FIN","Finland","2008","32.5",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","246","FIN","Finland","2009","32.5",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","246","FIN","Finland","2010","32.6",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","246","FIN","Finland","2011","32.9",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","246","FIN","Finland","2012","33.1",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","246","FIN","Finland","2013","32.8",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","246","FIN","Finland","2014","32.9",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","246","FIN","Finland","2015","33.4",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","246","FIN","Finland","2016","33.7",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","246","FIN","Finland","2017","33.9",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","246","FIN","Finland","2018","339.0",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","246","FIN","Finland","2019","34.2",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","246","FIN","Finland","2020","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","250","FRA","France","2005","31.1",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","250","FRA","France","2006","31.2",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","250","FRA","France","2007","31.4",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","250","FRA","France","2008","31.6",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","250","FRA","France","2009","31.7",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","250","FRA","France","2010","31.8",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","250","FRA","France","2011","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","250","FRA","France","2012","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","250","FRA","France","2013","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","250","FRA","France","2014","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","250","FRA","France","2015","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","250","FRA","France","2016","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","250","FRA","France","2017","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","250","FRA","France","2018","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","250","FRA","France","2019","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","250","FRA","France","2020","..",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","268","GEO","Georgia","2005","29.6",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","268","GEO","Georgia","2006","29.5",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","268","GEO","Georgia","2007","29.5",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","268","GEO","Georgia","2008","28.8",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","268","GEO","Georgia","2009","28.8",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","268","GEO","Georgia","2010","29.5",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","268","GEO","Georgia","2011","29.4",
"300","Mean age of men at first marriage","Mean age of men at first marriage","Years","268","GEO","Georgia","2012","29.8",
